Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2011,2011,t,8409634,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2012,2012,t,6653400,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2013,2013,t,5633500,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2014,2014,t,6098900,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2015,2015,t,6978800,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2016,2016,t,6705400,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2017,2017,t,6854100,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2018,2018,t,6967900,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2019,2019,t,7464800,A,Official figure,
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2020,2020,t,8977900,A,Official figure,
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2021,2021,t,7828500,A,Official figure,
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2022,2022,t,7921500,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2023,2023,t,8306600,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1961,1961,t,28000,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1962,1962,t,36400,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1963,1963,t,50600,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1964,1964,t,69300,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1965,1965,t,77300,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1966,1966,t,114200,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1967,1967,t,169600,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1968,1968,t,170000,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1969,1969,t,210000,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1970,1970,t,236300,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1971,1971,t,300600,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1972,1972,t,347600,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1973,1973,t,359800,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1974,1974,t,336100,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1975,1975,t,278400,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1976,1976,t,319200,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1977,1977,t,506300,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1978,1978,t,591500,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1979,1979,t,606400,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1980,1980,t,623900,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1981,1981,t,676200,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1982,1982,t,621700,X,Figure from external organization,Data sourced from another international organization
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1983,1983,t,626600,X,Figure from external organization,Data sourced from another international organization
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1984,1984,t,846400,X,Figure from external organization,Data sourced from another international organization
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1985,1985,t,854100,X,Figure from external organization,Data sourced from another international organization
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1986,1986,t,868100,X,Figure from external organization,Data sourced from another international organization
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1987,1987,t,878600,X,Figure from external organization,Data sourced from another international organization
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1988,1988,t,1029900,X,Figure from external organization,Data sourced from another international organization
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1989,1989,t,1171700,X,Figure from external organization,Data sourced from another international organization
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1990,1990,t,1328000,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1991,1991,t,1360600,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1992,1992,t,883900,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1993,1993,t,937100,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1994,1994,t,1124800,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1995,1995,t,1155850,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1996,1996,t,1043144,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1997,1997,t,1372487,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1998,1998,t,1331549,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),1999,1999,t,1674230,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),2000,2000,t,1567500,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),2001,2001,t,1669017,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),2002,2002,t,1597647,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3104,Nutrient potash K2O (total),2003,2003,t,1597439,A,Official figure,Official data from questionnaire
